Adjectives,Subject,Time Period,Region,About (Buzzword),About,Professor Adjective,Who,For,Other,Class
,,,,,,,,,,LACS 24000 Intérpretes do Brasil
,,,,,,,,,,LACS 24501 Human Rights in Mexico
,,,,,,,,,,LACS 25303 Human Rights: Alien and Citizen
,,,,,,,,,,"LACS 26500 History of Mexico, 1876 to the Present"
,,,,,,,,,,LACS 26508 A Transnational History of Youth in the 20th Century
,,,,,,,,,,LACS 27100 Dystopia in Lusophone Literatures
,,,,,,,,,,"LACS 27900 Beginning Modern Spoken Yucatec Maya I, II, III"
,,,,,,,,,,LACS 28000 US Latinos: Origins/Histories
,,,,,,,,,,LACS 28210 Colonial Ecologies
,,,,,,,,,,LACS 29700 Reading and Research in Latin American Studies
,,,,,,,,,,LACS 29801 BA Colloquium
,,,,,,,,,,LACS 29900 Preparation of the BA Essay
,,,,,,,,,,LATN 21100 Roman Elegy
,,,,,,,,,,LATN 21200 Roman Novel
,,,,,,,,,,LATN 21300 Vergil
,,,,,,,,,,LATN 21700 Epic
,,,,,,,,,,LATN 21800 Roman Historian
,,,,,,,,,,LATN 21900 Roman Comedy
,,,,,,,,,,LATN 22100 Lucretius
,,,,,,,,,,LATN 22200 Roman Satire
,,,,,,,,,,LATN 22300 Roman Oratory
,,,,,,,,,,LATN 25811 Cicero's De Finibus and Hellenistic Ethics
,,,,,,,,,,LATN 29700 Reading Course
,,,,,,,,,,LATN 34400 Latin Prose Composition
,,,,,,,,,,LATN 22100 Lucretius
,,,,,,,,,,LGLN 22001 From Proto-Indo-European to Old Church Slavonic
,,,,,,,,,,LGLN 25100 Old Church Slavonic
,,,,,,,,,,LING 20001 Introduction to Linguistics
,,,,,,,,,,LING 20101 Introduction to Phonetics and Phonology
,,,,,,,,,,LING 20150 Language and Communication
,,,,,,,,,,LING 20201 Introduction to Syntax
,,,,,,,,,,LING 20301 Introduction to Semantics and Pragmatics
,,,,,,,,,,LING 21000 Morphology
,,,,,,,,,,LING 21300 Historical Linguistics
,,,,,,,,,,LING 23900 Languages of the World
,,,,,,,,,,LING 25000 Linguistic Typology
,,,,,,,,,,LING 26400 Introduction to Slavic Linguistics
,,,,,,,,,,LING 27010 Psycholinguistics
,,,,,,,,,,LING 27910 Sign Languages Linguistics
,,,,,,,,,,LING 28600 Computational Linguistics
,,,,,,,,,,LING 29700 Reading and Research Course
,,,,,,,,,,LING 29900 BA Paper Preparation Course
,,,,,,,,,,"LLSO 20601 American Revolution, 1763-1789"
,,,,,,,,,,"LLSO 21612 Economic Shocks, Institutions, and Growth"
,,,,,,,,,,LLSO 21810 Global Justice
,,,,,,,,,,LLSO 21911 Politics of Reproduction in Historical Perspective
,,,,,,,,,,LLSO 22104 Intellectual Property &amp; Piracy
,,,,,,,,,,"LLSO 22210 Introduction to Black Chicago, 1893-2008"
,,,,,,,,,,LLSO 22707 Britain's Industrial Revolution
,,,,,,,,,,LLSO 23100 Environmental Law
,,,,,,,,,,LLSO 23415 Emergence of Capitalism in Early Modern Europe
,,,,,,,,,,LLSO 23900 Introduction to Constitutional Law
,,,,,,,,,,LLSO 24000 Civil Rights/Civil Liberties
,,,,,,,,,,LLSO 24200 Legal Reasoning
,,,,,,,,,,LLSO 24300 American Law and the Rhetoric of Race
,,,,,,,,,,"LLSO 24711 Lincoln: Slavery, War, and the Constitution"
,,,,,,,,,,"LLSO 25203 Economic/Social History of Europe, 1700 to 1880"
,,,,,,,,,,"LLSO 25204 Economic/Social History of Europe, 1880 to the Present"
,,,,,,,,,,LLSO 25215 The American Presidency
,,,,,,,,,,LLSO 25417 Losers
,,,,,,,,,,LLSO 25612 Slavery in the History of Political Thought
,,,,,,,,,,LLSO 25903 Liberalism and Empire
,,,,,,,,,,LLSO 26201 Economics and Environmental Policy
,,,,,,,,,,"LLSO 26500 History of Mexico, 1876 to Present"
,,,,,,,,,,"LLSO 26601 Organization, Ideology, and Political Change"
,,,,,,,,,,LLSO 26702 Political Psychology
,,,,,,,,,,LLSO 26803 Haitian Revolution and Human Rights
,,,,,,,,,,LLSO 27101 Democracy and the Information Technology Revolution
,,,,,,,,,,LLSO 27801 Media Ecology: Embodiment and Software
,,,,,,,,,,LLSO 28200 Machiavelli’s Political Thought
,,,,,,,,,,LLSO 28314 African American Lives and Times
,,,,,,,,,,LLSO 28604 Law and Social Movements in Modern America
,,,,,,,,,,LLSO 28611 Renaissance Humanism
,,,,,,,,,,LLSO 28711 Race and Racism in American History
,,,,,,,,,,"LLSO 29000 Sport, Society, and Science"
,,,,,,,,,,LLSO 29400 Research Seminar
,,,,,,,,,,MATH 11200 Studies in Mathematics I
,,,,,,,,,,MATH 11300 Studies in Mathematics II
,,,,,,,,,,MATH 17500 Basic Number Theory
,,,,,,,,,,MATH 17600 Basic Geometry
,,,,,,,,,,MATH 19520 Mathematical Methods for Social Sciences
,,,,,,,,,,MATH 19620 Linear Algebra
,,,,,,,,,,MATH 19900 Introduction to Analysis and Linear Algebra
,,,,,,,,,,MATH 21100 Basic Numerical Analysis
,,,,,,,,,,MATH 21200 Advanced Numerical Analysis
,,,,,,,,,,MATH 22000 Introduction to Mathematical Methods in Physics
,,,,,,,,,,MATH 24100 Topics in Geometry
,,,,,,,,,,MATH 24200 Algebraic Number Theory
,,,,,,,,,,MATH 24300 Introduction to Algebraic Curves
,,,,,,,,,,MATH 26200 Point-Set Topology
,,,,,,,,,,MATH 26300 Introduction to Algebraic Topology
,,,,,,,,,,MATH 26700 Introduction to Representation Theory of Finite Groups
,,,,,,,,,,MATH 26800 Introduction to Commutative Algebra
,,,,,,,,,,MATH 27000 Basic Complex Variables
,,,,,,,,,,MATH 27200 Basic Functional Analysis
,,,,,,,,,,MATH 27300 Basic Theory of Ordinary Differential Equations
,,,,,,,,,,MATH 27400 Introduction to Differentiable Manifolds and Integration on Manifolds
,,,,,,,,,,MATH 27500 Basic Theory of Partial Differential Equations
,,,,,,,,,,MATH 27700 Mathematical Logic I
,,,,,,,,,,MATH 27800 Mathematical Logic II
,,,,,,,,,,MATH 28000 Introduction to Formal Languages
,,,,,,,,,,MATH 28100 Introduction to Complexity Theory
,,,,,,,,,,MATH 28410 Honors Combinatorics
,,,,,,,,,,MATH 29200 Chaos/Complexity And Computers
,,,,,,,,,,MATH 29700 Proseminar in Mathematics
,,,,,,,,,,MATH 30200 Computability Theory I
,,,,,,,,,,MATH 30300 Computability Theory II
,,,,,,,,,,MATH 30500 Computability and Complexity Theory
,,,,,,,,,,MATH 30900 Model Theory I
,,,,,,,,,,MATH 31000 Model Theory II
,,,,,,,,,,MATH 31200 Analysis I
,,,,,,,,,,MATH 31300 Analysis II
,,,,,,,,,,MATH 31400 Analysis III
,,,,,,,,,,MATH 31700 Topology and Geometry I
,,,,,,,,,,MATH 31800 Topology and Geometry II
,,,,,,,,,,MATH 31900 Topology and Geometry III
,,,,,,,,,,MATH 32500 Algebra I
,,,,,,,,,,MATH 32600 Algebra II
,,,,,,,,,,MATH 32700 Algebra III
,,,,,,,,,,MATH 37500 Algorithms in Finite Groups
,,,,,,,,,,MATH 38300 Numerical Solutions to Partial Differential Equations
,,,,,,,,,,MUSI 10100 Introduction to Western Art Music
,,,,,,,,,,MUSI 10200 Introduction to World Music
,,,,,,,,,,MUSI 10300 Introduction to Music: Materials and Design
,,,,,,,,,,MUSI 10400 Introduction to Music: Analysis and Criticism
,,,,,,,,,,MUSI 20900 Issues in Film Music
,,,,,,,,,,MUSI 23300 Introduction to the Social and Cultural Study of Music
,,,,,,,,,,MUSI 23503 Introduction to the Musical Folklore of Central Asia
,,,,,,,,,,MUSI 23700 Music of South Asia
,,,,,,,,,,MUSI 23900 Rock
,,,,,,,,,,MUSI 24000 Composition Lessons
,,,,,,,,,,MUSI 25100 Analysis of Music of the Classical Period
,,,,,,,,,,MUSI 25200 Analysis of Nineteenth-Century Music
,,,,,,,,,,MUSI 25300 Analysis of Twentieth-Century Music
,,,,,,,,,,MUSI 25600 Jazz Theory and Improvisation
,,,,,,,,,,MUSI 25701 Introduction to Cognitive Musicology
,,,,,,,,,,MUSI 25800 Tuning Theory
,,,,,,,,,,MUSI 25801 The Analysis of Song
,,,,,,,,,,MUSI 26100 Introduction to Composition
,,,,,,,,,,MUSI 26800 Sixteenth-Century Counterpoint
,,,,,,,,,,MUSI 26900 Eighteenth-Century Counterpoint
,,,,,,,,,,MUSI 28200 Multiple-Media Composition
,,,,,,,,,,MUSI 28500 Musicianship Skills
,,,,,,,,,,MUSI 29500 Undergraduate Honors Seminar
,,,,,,,,,,MUSI 29700 Independent Study in Music
,,,,,,,,,,MUSI 29900 Senior Essay or Composition
,,,,,,,,,,NCDV 21201 Human Impact on the Environment
,,,,,,,,,,NCDV 29800 Reading Course
,,,,,,,,,,NCDV 29900 Independent Study
,,,,,,,,,,"NEAA 10630 Islamic Art and Architecture, 1100 to 1500"
,,,,,,,,,,NEAA 20001 Archaeology of the Ancient Near East-1: Mesopotamia
,,,,,,,,,,NEAA 20002 Archaeology of the Ancient Near East II: Anatolia
,,,,,,,,,,NEAA 20003 Archaeology of the Ancient Near East III: Levant
,,,,,,,,,,NEAA 20004 Archaeology of the Ancient Near East IV: Pre-Islamic Arabia
,,,,,,,,,,NEAA 20005 Archaeology of the Ancient Near East V: Islamic Period
,,,,,,,,,,NEAA 20006 Archaeology of the Ancient Near East VI: Egypt
,,,,,,,,,,NEAA 20030 The Rise of the State in the Near East
,,,,,,,,,,NEAA 20035 Zooarchaeology
,,,,,,,,,,NEAA 20051 Method and Theory in Near Eastern Archaeology
,,,,,,,,,,NEAA 20061 Ancient Landscapes-1
,,,,,,,,,,NEAA 20062 Ancient Landscapes II
,,,,,,,,,,NEAA 20115 Women in Mesopotamian Art
,,,,,,,,,,NEAA 20121 Mesopotamian Archaeology-1
,,,,,,,,,,NEAA 20122 Mesopotamian Archaeology-2
,,,,,,,,,,NEAA 20123 Mesopotamian Archaeology-3
,,,,,,,,,,NEAA 20124 Mesopotamian Archaeology-4
,,,,,,,,,,NEAA 20310 The Pre-History of the Levant
,,,,,,,,,,NEAA 20372 Anatolian Archaeology II
,,,,,,,,,,NEAA 20520 Islamic Archaeology of Arabia
,,,,,,,,,,NEAA 20521 Egypt after the Pharaohs: Coptic and Islamic Egypt
,,,,,,,,,,NEAA 20522 Archaeology of Islamic Syria-Palestine
,,,,,,,,,,NEAA 20531 Problems in Islamic Archaeology
,,,,,,,,,,NEAA 20532 Problems in Islamic Archaeology: The Islamic City
,,,,,,,,,,"NEAA 20760 Mongol and Timurid Art and Architecture in the Islamic Lands, 1258 to 1506"
,,,,,,,,,,NEAA 29700 Reading and Research Course: Near Eastern Art and Archaeology
,,,,,,,,,,NEAA 30162 Uruk Mesopotamia and Neighboring Regions
,,,,,,,,,,NEAA 20005 Archaeology of the Ancient Near East V: Islamic Period
,,,,,,,,,,NEHC 10101 Introduction to the Middle East
,,,,,,,,,,NEHC 20025 Introduction to Islamic Law
,,,,,,,,,,NEHC 20089 Muhammad and Ahmad al-Ghazali
,,,,,,,,,,NEHC 20175 The Achaemenid Persian Empire
,,,,,,,,,,NEHC 20255 An Introduction to Sh 'ite Islam
,,,,,,,,,,NEHC 20404 Jewish Thought and Literature I
,,,,,,,,,,NEHC 20405 Jewish Thought and Literature II
,,,,,,,,,,NEHC 20406 Jewish Thought and Literature III
,,,,,,,,,,NEHC 20539 The Renaissance East and West
,,,,,,,,,,NEHC 20568 Balkan Folklore
,,,,,,,,,,NEHC 20573 The Burden of History: A Nation and Its Lost Paradise
,,,,,,,,,,NEHC 20587 Israeli Poetry
,,,,,,,,,,NEHC 20630 Introduction to Islamic Philosophy
,,,,,,,,,,"NEHC 20634 North Africa, Late Antiquity Islam"
,,,,,,,,,,NEHC 20636 Survey: Classical Arabic Literature in Translation
,,,,,,,,,,NEHC 20710 Iranian Cinema
,,,,,,,,,,NEHC 20751 Rumi: Poet of Islamic Spirituality
,,,,,,,,,,NEHC 20752 The Book of Kings: Ferdowsi's Shahnameh as World Literature
,,,,,,,,,,NEHC 20761 Introduction to the History and Culture of Central Asia
,,,,,,,,,,NEHC 20762 Contemporary Central Asia
,,,,,,,,,,NEHC 20765 Introduction to the Musical Folklore of Central Asia
,,,,,,,,,,NEHC 20766 Shamans and Oral Poets of Central Asia
,,,,,,,,,,NEHC 20767 Pre-modern Armenian Literature &amp; Thought
,,,,,,,,,,NEHC 20772 Ancient Economies from Mesopotamia to Rome
,,,,,,,,,,"NEHC 20840 Radical Islamic Pieties, 1200 to 1600"
,,,,,,,,,,NEHC 20885 Returning the Gaze: The Balkans and Western Europe
,,,,,,,,,,NEHC 20906 The Arab-Israeli Conflict in Literature and Film
,,,,,,,,,,NEHC 20952 Introduction to the History of Modern Iraq
,,,,,,,,,,NEHC 29700 Reading and Research Course
,,,,,,,,,,NEHC 29800 BA Paper Seminar
,,,,,,,,,,NEHC 29999 BA Paper Preparation
,,,,,,,,,,NEHC 20089 Muhammad and Ahmad al-Ghazali
,,,,,,,,,,NEHC 20502 Islamic History and Society II: The Middle Period
,,,,,,,,,,NEHC 20766 Shamans and Oral Poets of Central Asia
,,,,,,,,,,NELG 29700 Reading and Research Course: Near Eastern Languages
,,,,,,,,,,NELG 30301 Introduction to Comparative Semitics
,,,,,,,,,,NORW 10400 Intermediate Norwegian I: Introduction to Literature
,,,,,,,,,,NORW 10500 Intermediate Norwegian II
,,,,,,,,,,NORW 24211 Ibsen: Theory and Practice
,,,,,,,,,,NORW 24700 Scandinavian Women's Literature
,,,,,,,,,,NORW 28500 Comparative Fairy Tale
,,,,,,,,,,NORW 29700 Reading and Research Course in Norwegian
,,,,,,,,,,NTEC 29700 Reading and Research
,,,,,,,,,,PBPL 20000 Economics for Public Policy
,,,,,,,,,,PBPL 21800 Economics and Environmental Policy
,,,,,,,,,,PBPL 22100 Politics and Policy
,,,,,,,,,,PBPL 22200 Public Policy Analysis
,,,,,,,,,,PBPL 22300 Problems of Public Policy Implementation
,,,,,,,,,,PBPL 23000 Organizational Analysis
,,,,,,,,,,PBPL 23100 Environmental Law
,,,,,,,,,,PBPL 23200 The Economics of Crime
,,,,,,,,,,PBPL 23600 Political Sociology
,,,,,,,,,,PBPL 24101 Public Policy and Wage Inequality
,,,,,,,,,,PBPL 24500 Economics of Urban Policies
,,,,,,,,,,PBPL 24751 The Business of Non-Profits: The Evolving Social Sector
,,,,,,,,,,PBPL 24800 Urban Policy Analysis
,,,,,,,,,,"PBPL 24901 Trade, Development, and Poverty in Mexico"
,,,,,,,,,,PBPL 25405 Child Poverty and Chicago Schools
,,,,,,,,,,PBPL 26400 Quantitative Methods in Public Policy
,,,,,,,,,,PBPL 26505 The Case Study as a Public Policy Research Method
,,,,,,,,,,"PBPL 26506 Policy Applications of Factor Analysis, Cluster Analysis, and Regression"
,,,,,,,,,,PBPL 26700 Economics of Education
,,,,,,,,,,PBPL 26709 Public Policy: The Great Books and Articles
,,,,,,,,,,PBPL 26801 Race Policy
,,,,,,,,,,PBPL 27000 Introduction to International Economics
,,,,,,,,,,PBPL 27501 Regulating Speech
,,,,,,,,,,PBPL 27900 Global-Local Politics
,,,,,,,,,,PBPL 28300 Health Economics and Public Policy
,,,,,,,,,,PBPL 28501 Process and Policy in State and City Government
,,,,,,,,,,PBPL 28605 Introduction to the Economic Analysis of Law
,,,,,,,,,,PBPL 29000 Energy and Energy Policy
,,,,,,,,,,PBPL 29600 Internship: Public Policy
,,,,,,,,,,PBPL 29700 Reading and Research: Public Policy
,,,,,,,,,,PBPL 29800 Senior Seminar
,,,,,,,,,,PBPL 29900 BA Paper Preparation: Public Policy
,,,,,,,,,,PERS 10101 Elementary Persian I
,,,,,,,,,,PERS 10102 Elementary Persian II
,,,,,,,,,,PERS 10103 Elementary Persian III
,,,,,,,,,,PERS 20101 Intermediate Persian I
,,,,,,,,,,PERS 20102 Intermediate Persian II
,,,,,,,,,,PERS 20103 Intermediate Persian III
,,,,,,,,,,PERS 30220 Poetics/Politics of Modern Iran
,,,,,,,,,,PERS 30324 Muthnavi or Rumi-1
,,,,,,,,,,PERS 30325 Muthnavi of Rumi-2
,,,,,,,,,,PERS 30349 Shi 'a Poetry
,,,,,,,,,,"PERS 30350 Persian Poetry: Minor Genres, History of the Rubaiyat"
,,,,,,,,,,PERS 30361 Samak-e 'Ayyar
,,,,,,,,,,PERS 30851 Introduction to Old Persian
,,,,,,,,,,PERS 30324 Muthnavi or Rumi-1
,,,,,,,,,,PERS 30325 Muthnavi of Rumi-2
,,,,,,,,,,PERS 30361 Samak-e 'Ayyar
,,,,,,,,,,PHIL 20100 Elementary Logic
,,,,,,,,,,PHIL 20118 Wittgenstein's Tractatus Logico-Philosophicus
,,,,,,,,,,PHIL 20305 Foundations of Probability: A Historical Approach
,,,,,,,,,,PHIL 20720 Ordinary Language Philosophy
,,,,,,,,,,PHIL 21000 Introduction to Ethics
,,,,,,,,,,PHIL 21001 Aristotelian Ethics
,,,,,,,,,,PHIL 21110 Ideal Theory: Rawls and Marx
,,,,,,,,,,PHIL 21210 Philosophy and Literature
,,,,,,,,,,PHIL 21300 Torture and Contemporary Moral Thought
,,,,,,,,,,PHIL 21301 Moral Theory
,,,,,,,,,,PHIL 21400 Happiness
,,,,,,,,,,PHIL 21423 Introduction to Marx
,,,,,,,,,,PHIL 21580 Libertarianism
,,,,,,,,,,PHIL 21700 Human Rights I: Philosophical Foundations of Human Rights
,,,,,,,,,,PHIL 21712 Aristotle’s Syllogistic
,,,,,,,,,,PHIL 21900 Aesthetics of Hume and Kant
,,,,,,,,,,PHIL 22000 Introduction to the Philosophy of Science
,,,,,,,,,,PHIL 22215 Cicero's De Finibus and Hellenistic Ethics
,,,,,,,,,,PHIL 22950 Foundationalism and Its Critics
,,,,,,,,,,PHIL 23010 Knowledge and Freedom
,,,,,,,,,,PHIL 23400 Philosophy of Mind and Science Fiction
,,,,,,,,,,PHIL 23405 History and Philosophy of Biology
,,,,,,,,,,PHIL 23409 Introduction to Heidegger
,,,,,,,,,,PHIL 23502 Introduction to Philosophy of Mind
,,,,,,,,,,"PHIL 23709 Conceptual Change, Relativism, and Rationality"
,,,,,,,,,,PHIL 23710 Radical Interpretation and Affective Constraints
,,,,,,,,,,PHIL 24010 Meaning and Reference
,,,,,,,,,,PHIL 24130 Anscombe on Action and Ethics
,,,,,,,,,,"PHIL 24790 Self-Transformation and Political Resistance: Michel Foucault, Pierre Hadot, Primo Levi, Martin Luther King, Jr"
,,,,,,,,,,PHIL 24920 Varieties of Historicism: Gadamer and Rorty
,,,,,,,,,,PHIL 25000 History of Philosophy I: Ancient Philosophy
,,,,,,,,,,"PHIL 25209 Emotion, Reason, and Law"
,,,,,,,,,,PHIL 25720 Plotinus
,,,,,,,,,,PHIL 26000 History of Philosophy II: Medieval and Early Modern Philosophy
,,,,,,,,,,PHIL 26110 Introduction to Scientific and Technological Change
,,,,,,,,,,PHIL 27000 History of Philosophy III: Kant and the Nineteenth Century
,,,,,,,,,,PHIL 27302 Infinity in Early Modern Philosophy
,,,,,,,,,,PHIL 27500 Kant’s Critique of Pure Reason
,,,,,,,,,,PHIL 28201 Topics from Hegel's Phenomenology of Spirit
,,,,,,,,,,PHIL 28711 Nietzsche
,,,,,,,,,,PHIL 29200 Junior Tutorial
,,,,,,,,,,PHIL 29300 Senior Tutorial
,,,,,,,,,,PHIL 29400 Intermediate Logic
,,,,,,,,,,PHIL 29405 Advanced Logic
,,,,,,,,,,PHIL 29410 Logical Consequence
,,,,,,,,,,PHIL 29601 Intensive Track Seminar: Descartes' Meditations
,,,,,,,,,,PHIL 29700 Reading Course: Philosophy
,,,,,,,,,,PHIL 29901 Senior Seminar I
,,,,,,,,,,PHIL 29902 Senior Seminar II
,,,,,,,,,,PHSC 10900 Ice-Age Earth
,,,,,,,,,,PHSC 11000 Environmental History of the Earth
,,,,,,,,,,PHSC 12800 European Astronomy and Astrophysics
,,,,,,,,,,PHSC 13400 Global Warming: Understanding the Forecast
,,,,,,,,,,PHSC 13500 Chemistry and the Atmosphere
,,,,,,,,,,PHSC 13600 Natural Hazards
,,,,,,,,,,PHSC 18100 The Milky Way
,,,,,,,,,,PHSC 18200 The Origin and Evolution of the Universe
,,,,,,,,,,PHSC 18300 Searching Between the Stars
,,,,,,,,,,PHYS 15400 Modern Physics
,,,,,,,,,,PHYS 18500 Intermediate Mechanics
,,,,,,,,,,PHYS 19700 Statistical and Thermal Physics
,,,,,,,,,,PHYS 21100 Experimental Physics
,,,,,,,,,,PHYS 22100 Mathematical Methods in Physics
,,,,,,,,,,PHYS 22600 Electronics
,,,,,,,,,,PHYS 23600 Solid State Physics
,,,,,,,,,,PHYS 23700 Nuclei and Elementary Particles
,,,,,,,,,,PHYS 23800 Modern Atomic Physics
,,,,,,,,,,PHYS 25000 Computational Physics
,,,,,,,,,,PHYS 26000 Fluid Dynamics
,,,,,,,,,,PHYS 26400 Spacetime and Black Holes
,,,,,,,,,,PHYS 27300 Particle Astrophysics
,,,,,,,,,,PHYS 29700 Participation in Research
,,,,,,,,,,PHYS 31600 Advanced Classical Mechanics
,,,,,,,,,,PHYS 33000 Mathematical Methods of Physics
,,,,,,,,,,PHYS 35200 Statistical Mechanics
,,,,,,,,,,"PLSC 21410 Introduction to Theories of Sex/Gender: Ideology, Culture, and Sexuality"
,,,,,,,,,,PLSC 21810 Global Justice
,,,,,,,,,,PLSC 22200 Introduction to Political Economy of Development
,,,,,,,,,,PLSC 22700 Happiness
,,,,,,,,,,PLSC 23010 Liberalism and Empire
,,,,,,,,,,PLSC 23100 Democracy and the Information Technology Revolution
,,,,,,,,,,PLSC 23415 Emergence of Capitalism in Early Modern Europe
,,,,,,,,,,PLSC 24001 Leviathan
,,,,,,,,,,"PLSC 24320 Economic Shocks, Institutions, and Growth"
,,,,,,,,,,"PLSC 25101 Three Erotic Dialogues: Plato, Xenophon, Plutarch"
,,,,,,,,,,PLSC 25215 The American Presidency
,,,,,,,,,,PLSC 25612 Slavery in the History of Political Thought
,,,,,,,,,,PLSC 25700 African Politics
,,,,,,,,,,PLSC 25800 Losers
,,,,,,,,,,PLSC 26109 Core Values of the West
,,,,,,,,,,"PLSC 26800 Insurgency, Terrorism, and Civil War"
,,,,,,,,,,PLSC 27216 Machiavelli's Political Thought
,,,,,,,,,,PLSC 27301 Weimar Political Theology: Schmitt and Strauss
,,,,,,,,,,PLSC 27500 Organizational Decision Making
,,,,,,,,,,"PLSC 28000 Organization, Ideology, and Political Change"
,,,,,,,,,,PLSC 28211 Law and Society in the Muslim World
,,,,,,,,,,PLSC 28600 Political Psychology
,,,,,,,,,,PLSC 28615 Politics and Human Nature
,,,,,,,,,,PLSC 28700 Jewish Political Thought
,,,,,,,,,,PLSC 28800 Introduction to Constitutional Law
,,,,,,,,,,PLSC 28900 Strategy
,,,,,,,,,,PLSC 29000 Introduction to International Relations
,,,,,,,,,,PLSC 29120 Big Wars: From Ancient Greece to World War II
,,,,,,,,,,PLSC 29200 Civil Rights/Civil Liberties
,,,,,,,,,,PLSC 29301 Arendt and Heidegger
,,,,,,,,,,PLSC 29700 Independent Study
,,,,,,,,,,PLSC 29800 BA Colloquium
,,,,,,,,,,PLSC 29900 BA Thesis Supervision
,,,,,,,,,,POLI 29500 THe Holocaust Object
,,,,,,,,,,PORT 12200 Portuguese for Spanish Speakers
,,,,,,,,,,PORT 20700 Introduction to Brazilian Film
,,,,,,,,,,PORT 21500 Estilística da língua portuguesa
,,,,,,,,,,PORT 21803 Introduction to Latin American Cultural Theory
,,,,,,,,,,PORT 23012 Fernando Pessoa: The Prose
,,,,,,,,,,PORT 23200 Trends in Brazilian Fiction
,,,,,,,,,,PORT 24012 Brazilian Popular Song
,,,,,,,,,,PORT 26212 Brazilian Cultural History
,,,,,,,,,,PSYC 20000 Fundamentals of Psychology
,,,,,,,,,,PSYC 20100 Psychological Statistics
,,,,,,,,,,PSYC 20200 Psychological Research Methods
,,,,,,,,,,PSYC 20300 Biological Psychology
,,,,,,,,,,PSYC 20500 Developmental Psychology
,,,,,,,,,,PSYC 20600 Social Psychology
,,,,,,,,,,PSYC 20700 Sensation and Perception
,,,,,,,,,,PSYC 20850 Introduction to Human Development
,,,,,,,,,,PSYC 21100 Human Development/Research Design in the Social Sciences
,,,,,,,,,,PSYC 21111 Advanced Seminar in Stereotyping and Prejudice
,,,,,,,,,,"PSYC 21950 Language, Culture, and Thought"
,,,,,,,,,,PSYC 22104 The Second Half of Life: Person and Social Context
,,,,,,,,,,PSYC 22250 Windows to the Social Brain
,,,,,,,,,,PSYC 22750 Developmental Psychopathology
,,,,,,,,,,PSYC 23000 Cultural Psychology
,,,,,,,,,,PSYC 23200 Introduction to Language Development
,,,,,,,,,,PSYC 23249 Animal Behavior
,,,,,,,,,,PSYC 23300 The Social Brain and Empathy
,,,,,,,,,,PSYC 23550 Social Connectedness
,,,,,,,,,,PSYC 23600 Development in Infancy
,,,,,,,,,,PSYC 23750 The Social Brain: Social Isolation and Loneliness
,,,,,,,,,,PSYC 23800 Introduction to Learning and Memory
,,,,,,,,,,"PSYC 23850 Groups: Attachment, Conflict, and Resolution"
,,,,,,,,,,PSYC 23900 Political Psychology
,,,,,,,,,,PSYC 24000 Systems Neuroscience
,,,,,,,,,,PSYC 24701 The Development of Emotional and Social Understanding
,,,,,,,,,,PSYC 25100 Decision Making and Communication
,,,,,,,,,,PSYC 25101 The Psychology of Decision Making
,,,,,,,,,,PSYC 25330 Research Seminar: Understanding Communication
,,,,,,,,,,PSYC 25400 Collective Memory: The Politics of the Past
,,,,,,,,,,PSYC 25660 The Psychology of Extremism
,,,,,,,,,,PSYC 26200 Research Seminar in Research in Behavioral Endocrinology
,,,,,,,,,,PSYC 26400 Theories of Emotion and the Psychology of Well Being
,,,,,,,,,,PSYC 29200 Undergraduate Reading in Psychology
,,,,,,,,,,PSYC 29700 Undergraduate Research in Psychology
,,,,,,,,,,PSYC 29800 Honors Seminar
,,,,,,,,,,PSYC 30300 Advanced Topics in Biological Psychology
,,,,,,,,,,PSYC 30400 Cognitive Psychology
,,,,,,,,,,PSYC 32750 Advanced Topics in Chronobiology
,,,,,,,,,,PSYC 34400 Computational Neuroscience III: Cognitive Neuroscience
,,,,,,,,,,RELH 10100 Introduction to Religious Studies
,,,,,,,,,,RELH 29700 Readings in Religion and the Humanities
,,,,,,,,,,RELH 29900 Senior Project
,,,,,,,,,,RLST 10100 Introduction to Religious Studies
,,,,,,,,,,RLST 11005 Jewish History and Society I: Introduction to the Hebrew Bible
,,,,,,,,,,RLST 12000 Introduction to the New Testament
,,,,,,,,,,RLST 20401 Islamic Thought and Literature I
,,,,,,,,,,RLST 20402 Islamic Thought and Literature II
,,,,,,,,,,RLST 20403 Islamic Thought and Literature III
,,,,,,,,,,RLST 20501 Islamic History and Society I: Rise of Islam and the Caliphate
,,,,,,,,,,RLST 20603 Medieval Commentaries on Psalms
,,,,,,,,,,RLST 20700 Medieval Women's Religious Writing
,,,,,,,,,,RLST 20801 Introduction to Islamic Law
,,,,,,,,,,RLST 21003 Evangelicism in America
,,,,,,,,,,RLST 22111 Mary and Mariology
,,,,,,,,,,RLST 22306 Being Christian in the Roman Empire: Political Loyalty and Dissent in Early Christian Literature
,,,,,,,,,,RLST 22602 Protestant Reformation in Germany
,,,,,,,,,,"RLST 23604 Problems of Evil: Narrative, Theodicy, Anti-Theodicy"
,,,,,,,,,,"RLST 23704 Calvin on Idolatry, Sovereignty, and Freedom"
,,,,,,,,,,RLST 24101 Ethics after the Shoah
,,,,,,,,,,RLST 24304 Immanuel Kant's Critique of Practical Reason
,,,,,,,,,,RLST 24601 Martin and Malcolm: Life and Belief
,,,,,,,,,,RLST 24904 Mysticism and Christianity
,,,,,,,,,,RLST 26800 The Mahabharata in English Translation
